date	AAPL	LULU	SPY	TSLA	TTWO	XOM
2024-01-31	182.67483520507812	453.82000732421875	471.23065185546875	187.2899932861328	164.92999267578125	95.89906311035156
2024-02-29	179.2874755859375	467.0899963378906	495.8227233886719	201.8800048828125	146.92999267578125	98.40019989013672
2024-03-31	170.0924530029297	390.6499938964844	512.037109375	175.7899932861328	148.49000549316406	109.4339599609375
2024-04-30	168.95176696777344	360.6000061035156	491.39190673828125	183.27999877929688	142.80999755859375	111.34510803222656
2024-05-31	190.9530792236328	311.989990234375	516.2463989257812	178.0800018310547	160.36000061035156	111.2909164428711
2024-06-30	209.19912719726562	298.70001220703125	534.4595947265625	197.8800048828125	155.49000549316406	109.25985717773438
2024-07-31	220.5818328857422	258.6600036621094	540.9314575195312	232.07000732421875	150.52999877929688	112.5531997680664
2024-08-31	227.7184295654297	259.4700012207031	553.5706176757812	214.11000061035156	161.7100067138672	112.83748626708984
2024-09-30	231.69602966308594	271.3500061035156	565.1981811523438	261.6300048828125	153.7100067138672	112.14862823486328
2024-10-31	224.6457061767578	297.8999938964844	560.1546630859375	249.85000610351562	161.72000122070312	111.72767639160156
2024-11-30	236.26144409179688	320.6600036621094	593.55859375	345.1600036621094	188.3800048828125	113.78397369384766
2024-12-31	249.29251098632812	382.4100036621094	579.2774658203125	403.8399963378906	184.0800018310547	103.76180267333984
2025-01-31	234.9374237060547	414.20001220703125	594.8347778320312	404.6000061035156	185.50999450683594	103.04800415039062
2025-02-28	241.01583862304688	365.6099853515625	587.2835083007812	292.9800109863281	211.97999572753906	108.34925842285156
2025-03-31	221.37301635742188	283.05999755859375	554.5604858398438	259.1600036621094	207.25	115.74576568603516
2025-04-30	211.7758331298828	270.7699890136719	549.7523193359375	282.1600036621094	233.32000732421875	102.80186462402344
2025-05-31	200.4280242919922	316.6700134277344	584.3014526367188	346.4599914550781	226.27999877929688	100.4780044555664
2025-06-30	204.7389373779297	237.5800018310547	614.3264770507812	317.6600036621094	242.85000610351562	105.88004302978516
2025-07-31	207.1339111328125	200.52999877929688	628.475341796875	308.2699890136719	222.72999572753906	109.65164947509766
2025-08-31	231.91517639160156	202.1999969482422	641.3713989257812	333.8699951171875	233.27000427246094	113.29901885986328
2025-09-30	254.38340759277344	177.92999267578125	664.21728515625	444.7200012207031	258.3599853515625	111.77237701416016
2025-10-31	270.108154296875	170.5399932861328	680.050537109375	456.55999755859375	256.3699951171875	113.36841583251953
2025-11-30	278.8500061035156	184.17999267578125	681.3765869140625	430.1700134277344	246.07000732421875	115.91999816894531
2025-12-31	273.0799865722656	210.6699981689453	687.010009765625	454.42999267578125	257.9100036621094	120.98999786376953
