recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.5
ma-la-chicken	7.2259221116059615	1.0
quesadillas	7.285068141563702	1.0
ramen	7.291870913525004	0.0
spamburger	7.008332119314169	0.0
pain-au-chocolat	6.956360086321394	0.5
chocolate-babka	6.941712939773205	0.5
bacon-fried-rice	6.917469024684816	0.5
nacho-fries	6.871778624391858	0.0
cranberry-sauce	6.6563203260235015	0.5
guacamole	6.635466121322491	0.5
asparagus-quiche	6.436569996156736	0.5
strawberry-rhubarb-crisp	6.381704688416255	0.5
dan-dan-noodles	6.314302191642966	0.5
bacon-wrapped-asparagus	6.292381090000341	0.5
apple-pie	6.249771236367693	0.5
tamales	6.21710475381853	1.0
bacon-wrapped-chicken	6.210030325062029	1.0
cold-noodles-with-tomatoes	6.1950741306848744	0.5
brioche-bread	6.164744713889443	0.5
asparagus-burger	6.13824446866224	1.0
mushroom-quiche	6.060451595767896	0.0
fajitas	5.971361713989323	1.0
taco-salad	5.955707600201816	1.0
chicken-nuggets	5.872041823800786	1.0
apple-crisp	5.849430190392214	0.5
tacos	5.808429310808153	1.0
bacon-mac-and-cheese	5.662002473384302	0.5
spam-musubi	5.655110490997513	0.0
nacho-salad	5.604963311019864	1.0
croissants	5.585279560428492	0.5
sujebi	5.5407640829507345	0.0
nachos	5.4997506355001455	0.5
breakfast-burritos	5.4636723989981375	0.5
croissant-aux-amandes	5.4227007173829955	0.5
chocolate-peanut-butter-cake	5.420440779265215	0.5
cranberry-apple-crisp	5.374494848259519	0.5
bacon-wrapped-shrimp-skewers	5.280957129867211	0.0
souffle	5.21921704599323	0.5
danishes	5.14447780662509	0.5
soba-noodle-salad-with-peanut-dressing	5.14391413454335	0.5
quiche-lorraine	5.123258265915651	0.5
spinach-and-ricotta-lasagna	5.0829833888758795	0.5
cherry-pie	5.0739808628760805	0.5
vanilla-souffle	5.030203299537324	0.5
enchiladas	4.9872153691570835	0.5
ma-la-beef	4.912007192561411	1.0
brownies	4.908932697907963	0.5
spinach-quiche	4.883502553158643	0.5
chicken-fingers	4.737608598150524	1.0
bacon-egg-muffins	4.737155323482889	0.5
loaded-nachos	4.730054806002752	0.5
brioche-bread-with-chocolate	4.715580098868839	0.5
peach-crisp	4.693267919235444	0.5
pico-de-gallo	4.624401610554815	0.5
peanut-butter-cupcakes	4.61541337440426	0.5
chiles-rellenos	4.596510075758799	0.5
chicken-alfredo-lasagna	4.590584344320327	1.0
bolognese-sauce	4.600982266386461	0.5
burritos	4.581057490509419	0.5
cold-sesame-noodles	4.570396595371292	0.5
pickled-green-beans	4.56664009495751	0.5
maple-bacon-donuts	4.561843300045363	0.5
tempura-udon	4.541240222943633	0.5
cranberry-relish	4.527025226289545	0.5
bacon-and-egg-breakfast-sandwich	4.463739431965822	0.5
bacon-wrapped-scallops	4.463285057311689	0.0
cold-soba-noodles-with-tomato-and-cucumber	4.421189944536353	0.5
almond-croissants	4.378619440672779	0.5
falafel	4.351100672414936	0.5
spinach-and-feta-quiche	4.329687636329821	0.5
almond-chip-cookies	4.241051413371933	0.5
peach-cobbler	4.210721186712288	0.5
pickled-asparagus	4.190948129298775	0.5
maple-bacon-pancakes	4.156575948975472	0.5
fried-oysters	4.122282753086332	0.0
bacon-wrapped-dates	4.106951688241158	0.5
nacho-casserole	4.0927010185730435	0.5
udon	4.0881319160809415	0.5
classic-beef-lasagna	4.084103023836397	1.0
berry-crisp	4.0528666507996896	0.5
french-toast	4.012694914045168	0.5
pasta-primavera	3.9971180234246795	0.5
nacho-dip	3.9519791896848693	0.5
bacon-chocolate-chip-cookies	3.835893147465856	0.5
lasagna	3.7503106474791448	0.5
chocolate-croissants	3.7097175898739634	0.5
blueberry-crumble	3.684889123685307	0.5
chocolate-cake	3.6155933597895578	0.5
cherry-cobbler	3.4803379407712898	0.5
peanut-butter-brownies	3.4270351452836834	0.5
vegetarian-mushroom-lasagna	3.381691154397577	0.0
cinnamon-babka	3.3100612864663552	0.5
blueberry-crisp	3.2101244585734197	0.5
spinach-and-ricotta-stuffed-shells	3.1012068893161073	0.5
chocolate-souffle	2.9934313028583395	0.5
bacon-souffle	2.905013971341309	0.5
quesadillas	2.8446021816450613	1.0
tamales	2.842656041844438	1.0
butter-croissants	2.8404641261592345	0.5
