action	state	next_state	probability
do-nothing	exposed-1	exposed-2	0.80
do-nothing	exposed-1	recovered	0.20
do-nothing	exposed-2	exposed-3	0.80
do-nothing	exposed-2	recovered	0.20
do-nothing	exposed-3	symptoms-1	0.80
do-nothing	exposed-3	recovered	0.20
do-nothing	symptoms-1	symptoms-1	0.70
do-nothing	symptoms-1	symptoms-2	0.30
do-nothing	symptoms-2	symptoms-2	0.70
do-nothing	symptoms-2	symptoms-3	0.30
do-nothing	symptoms-3	symptoms-3	0.70
do-nothing	symptoms-3	recovered	0.30
do-nothing	recovered	recovered	1.00
drink-oj	exposed-1	exposed-2	0.80
drink-oj	exposed-1	recovered	0.20
drink-oj	exposed-2	exposed-3	0.80
drink-oj	exposed-2	recovered	0.20
drink-oj	exposed-3	symptoms-1	0.80
drink-oj	exposed-3	recovered	0.20
drink-oj	symptoms-1	symptoms-1	0.75
drink-oj	symptoms-1	symptoms-2	0.25
drink-oj	symptoms-2	symptoms-2	0.75
drink-oj	symptoms-2	symptoms-3	0.25
drink-oj	symptoms-3	symptoms-3	0.75
drink-oj	symptoms-3	recovered	0.25
drink-oj	recovered	recovered	1.00
sleep-8	exposed-1	exposed-2	0.50
sleep-8	exposed-1	recovered	0.50
sleep-8	exposed-2	exposed-3	0.50
sleep-8	exposed-2	recovered	0.50
sleep-8	exposed-3	symptoms-1	0.50
sleep-8	exposed-3	recovered	0.50
sleep-8	symptoms-1	symptoms-1	0.80
sleep-8	symptoms-1	symptoms-2	0.20
sleep-8	symptoms-2	symptoms-2	0.80
sleep-8	symptoms-2	symptoms-3	0.20
sleep-8	symptoms-3	symptoms-3	0.80
sleep-8	symptoms-3	recovered	0.20
sleep-8	recovered	recovered	1.00
